number ,clean_text,airsentiment_line_x,Polarity,Analysis
4188,hi updates,neutral,0,Neutral
4189,could tell bag would accepted personal item bring one carry bag plus http co u390czplhl,neutral,0.2732,Neutral
4190,3359 finally cancelled flightled,negative,-0.25,Neutral
4191,link email offers u sent year buy transfer miles last 1 expired http co zzps5ywve2,negative,0,Neutral
4192,thanks finally made missed meetings,negative,0.1779,Neutral
4193,flight originally supposed leave 1 40pm amp not leave 5 2nd time happened,negative,-0.0134,Neutral
4194,supposedly delivery believe see,negative,0,Neutral
4195,thank yes hoping speak someone directly appreciate link nonetheless,negative,0.8658,Positive
4196,sure waited 15min yay,positive,0.6908,Positive
4197,hi jh experience united entirely disgusting yes would like assistance getting compensated bag,negative,0.5552,Positive
4198,took picture thursday awesome http co ivgpzsjtkw,positive,0.6249,Positive
4199,probably would not someone returned call email case number 8273993,negative,0.0772,Neutral
4200,not even fit name first two lines yes please pass feedback big downgrade previous years,negative,0.4386,Neutral
4201,expiring offer buy transfer united mileageplus miles discount many offers year http co 6tz6imqzlg,positive,0.4215,Neutral
4202,no 2 flight cancelled flightlations one due weather one mechanical paid hotel bag held transfer no voucher compensation,negative,-0.6597,Negative
4203,got email reservations got cancelled flightled refunded nothing got refunded yet,negative,-0.25,Neutral
4204,offer flight cancelled flighted stranded away home work,negative,-0.25,Neutral
4205,really trying today,negative,0,Neutral
4206,looks like settled going thx,positive,0.6124,Positive
4207,flt 4567 two updates last 3 minutes,neutral,0,Neutral
4208,no busy taking needed get audition,negative,-0.296,Neutral
4209,never given one,neutral,0,Neutral
4210,quick response offering assistance lack follow not really service expecting,negative,-0.3182,Neutral
4211,stuck iad going 6 hours waiting ferry flight nashville u not tell arrive ridiculous,negative,0.0284,Neutral
4212,flt 4567 no gate agent no announcements unprofessional time go back delta,negative,-0.1774,Neutral
4213,thanks kp please also mention quiche breakfast tandoori chicken dinner entrees accompaniments truly first class,positive,0.7964,Positive
4214,flt 4567 departure time changed five times last 20 minutes not figure solution announce,negative,-0.2411,Neutral
4215,bags still houston since friday still not reimbursed baggage fee,negative,0,Neutral
4216,tell,negative,0,Neutral
4217,flight 4567 already cancelled flightled trying get home two days staff unhelpful,negative,-0.25,Neutral
4218,flight worse last flight attendants not even know whether plane equipped power outlets seats,negative,-0.4767,Neutral
4219,flight 4567 agent wandered pilots came looking went charge personal phone would txting,negative,0,Neutral
4220,waiting flight 4567 memphis incredibly rude gate agent waited departure time announce delay 1 2 rude,negative,-0.8221,Negative
4221,not see need spend extra 100 bc ur equipment failure,negative,-0.5106,Negative
4222,not need make changes reserved seats bought tickets error amp no comp seats,negative,-0.5994,Negative
4223,2015 no power outlets seats 6 hour flight california seriously airlines failing pathetic,negative,-0.872,Negative
4224,thanks kp luckily transfer maintenance issues still delayed not miss transfer,negative,0.695,Positive
4225,no not received e mails either inbox junk spam,neutral,-0.5719,Negative
4226,could please send phone refunds department submitted claim email without success,negative,-0.1774,Neutral
4227,not person sitting denver three hours want get plane please let go home,negative,0.3818,Neutral
4228,flight 441 2 4 delayed three hours pilot never showed,negative,-0.2263,Neutral
4229,need get ric tonight ewr 24hrs,negative,0,Neutral
4230,next flights miami another airline,negative,0,Neutral
4231,super frustrating folks united ticket counter pittsburg not honoring media rate unitedfail,negative,0.2728,Neutral
4232,45 minutes arrival no bags people ua469 den ewr long wait ual rep comes,negative,-0.296,Neutral
4233,policy behind changing passengers seating assignments gate,neutral,0,Neutral
4234,karen found unhelpful rude called united time amp told could board karen would not accept,negative,-0.3365,Neutral
4235,crossed 4 prior times carriers no issue karen rude untrained unhelpful also spoke,negative,-0.6369,Negative
4236,nexus confirmed crossing via air car boat travel nexus,negative,0,Neutral
4237,2 employee yelled 3 employee stood others whispering pointing behind counter,negative,0,Neutral
4238,1 refused boarding nexus nexus confirmed not refused,negative,-0.0803,Neutral
4239,good note 2 employees encountered newark fabulous late flight connecting flight got,positive,0.743,Positive
4240,u lost bag would not refund bag fee make sense yes already called cust svc said no,negative,-0.2023,Neutral
4241,united yall tried little bitty plane flying boston hate little planes,negative,-0.2263,Neutral
4242,good thing holding flight 11 peeps late flight connecting flight still make destination time,positive,0.4404,Neutral
4243,q purchased ticket hawaii trip late flight march mean acquire miles based price distance flown,neutral,0,Neutral
4244,stay warm passing chicago next week,positive,0.2263,Neutral
4245,refund request functionality http co 5imdckodfx broken get time error,negative,-0.7003,Negative
4246,ny njairports newark land 15 minutes early lose time waiting tarmac gate,negative,-0.4019,Neutral
4247,giving direct flight iah honolulu 3rd attempt 3 years 3rd delay 7 meal voucher wow customer service,negative,0.5994,Positive
4248,united played bizarre safety video ever seen http co hlm2oks6xl,neutral,0.6908,Positive
4249,nearly 48 hours late flightr still no idea never fly united help,negative,-0.6994,Negative
4250,1591 wi fi broken plane outage 1618 friday southwest get right every plane united not,negative,-0.0772,Neutral
4251,united wifi onboard 737 800 far superior pricing performance user perceived bandwidth late flightncy recent gogo experiences,positive,0.743,Positive
4252,second day amp attempt trying leave iad amp another plane delayed mechanical issues hour delayed,negative,-0.4588,Neutral
4253,direct number call request refund telling not valid changed ticket no number site,neutral,0.0201,Neutral
4254,plane coming delayed almost 7 hours no plane,negative,-0.4284,Neutral
4255,not fast enough no excuse service big hubs outdated craft southwest wifi awful,negative,-0.4976,Neutral
4256,thankful great service newark seats fixed seated daughter fab landing fort myers,positive,0.8957,Positive
4257,mother flight delayed phl ord way nrt gate refused upgrade platinum blegh,negative,-0.4767,Neutral
4258,late flight everyone braved weather 40 passengers waiting flight crew really,negative,0.4404,Neutral
4259,miserable trip lost bag sat found mon lost shipping 2nd day ground tues might return flight home,negative,-0.7783,Negative
4260,spending afternoon mia not fault no lounge inconvenient,negative,0.4556,Neutral
4261,costumer service sucks waiting week response,negative,-0.3612,Neutral
4262,way get copy feb edition hemisphere magazine flying,neutral,0,Neutral
4263,somehow think going stuck paying hotel room denver without winter clothes dime guess see,negative,-0.25,Neutral
4264,normally ask people put headphones not toddlers maybe planes kid section near back,neutral,0,Neutral
4265,course need help dming ladies gents day solution hope best lax,negative,0.9022,Positive
4266,confirmation number njv4bp need email confirmation flight nyc sfo feb 4,neutral,0.0772,Neutral
4267,united changing mileageplus program winners losers http co 38otlzak5d airline travel loyalty rewards,neutral,0.8442,Positive
4268,brandi zabsonre denver deserves raise bringing delight terrible travel situation big ups http co tk3aopdtsq,positive,0.2023,Neutral
4269,thank next flight durango driving farmington new mexico work hitting slopes durango,neutral,0.3612,Neutral
4270,denied use rear facing car seat ua5025 erj145 confirm actual policy,negative,-0.4404,Neutral
4271,better hold flight tucson 5237 landed houston hour delay minor computer problem,negative,-0.2732,Neutral
4272,thx stand rajuchinthala know frustrating appreciate patience try get way jh,neutral,0.3182,Neutral
4273,roundtrip tickets nj dramatically cheaper virgin pretty pricey via united match,neutral,0.7184,Positive
4274,dropped luggage iad 2 months ago repair damages not heard anything since get back,negative,-0.4404,Neutral
4275,thought thanks clarification,neutral,0.4404,Neutral
4276,feck guys stop cancelled flightling flights ewr ric weather fine locations,negative,-0.34,Neutral
4277,ua rolling improvements think hoping catch soon meantime ana preference,neutral,0.6249,Positive
4278,flyana official pleasantly surprised find ana made major upgrades transpacific route flights planes service,positive,0.6124,Positive
4279,step 1 cancelled flight flight step 2 not notify customer step 3 charge food try survive wait brilliant,negative,0.4215,Neutral
4280,need confirmation number give,neutral,0.0772,Neutral
4281,besides no small degree self interest take route several times year amp would hate situation,negative,-0.4404,Neutral
4282,rebooked casleah split take different flights pilot ran hours frustrating,negative,-0.4404,Neutral
4283,no worries tweets make sure tag line fly friendly skies,positive,0.7803,Positive
4284,jsumiyasu thankful united ground staff put last seat last flight home late flight still home,positive,0.7579,Positive
4285,appreciate follow,positive,0.4019,Neutral
4286,gist flight attendant told,negative,0,Neutral
4287,btw true remind flight staff checking even indicating meal prefer reservation,negative,0.4215,Neutral
4288,took aback response flight attendant put responsibility squarely back passenger shoulders,negative,0,Neutral
4289,no u cld explain disorganized inefficient company w surly obviously unhappy employees stays business,negative,-0.7351,Negative
4290,sat airport 5 hrs still sitting gate sigh,negative,0.0258,Neutral
4291,actually not consider might made mistake not complain beyond indicated reservation,neutral,-0.0747,Neutral
4292,gold star united change flight miss connections not accommodate much late flightr arrival time not happy,negative,-0.2018,Neutral
4293,first class cockup http co oh7cfv7dhr,negative,0,Neutral
4294,day travel swag ijustwanttosleep,neutral,0,Neutral
4295,thank new club hare comfortable made difficult weather days proficient enjoyable,positive,0.7351,Positive
4296,filled form sent link 29 1 15 either 9 10 2 15,neutral,0,Neutral
4297,not let get iah hnl direct weather delay sfo leg stop reactive proactive,negative,-0.1779,Neutral
4298,bad coffee juice ok getphilz united terminal sfo airport http co sg7iqqfvso,negative,0.128,Neutral
4299,mot getting refund,negative,0,Neutral
4300,nothing apparently flown w 4 times last 3 weeks 3 experiences incl today clusterfucks,negative,0,Neutral
4301,not get name not group sitting behind us think window seat 40 overheard,negative,0,Neutral
4302,know united club needs power moar power insufficient outlets roadwarrior ord,negative,0.4215,Neutral
4303,thrilled carry checked two nasty gate agents see entire empty bin boarded last,negative,-0.3612,Neutral
4304,business usual meant dropping bully mentality fostering inspiration greater business employeerelations,negative,0.4019,Neutral
4305,united ridiculous fly outdated 757s anywhere much less btwn iah sfo no power ports no wifi no personal entertainment torture,negative,-0.8148,Negative
4306,last night waited forever gate someone corporate dispatch forgot call crew unfriendlyskies,negative,0,Neutral
4307,broken entertainment system 8 hour nyc flight terrible cabin crew service online complaint form not work hopeless,negative,-0.4802,Neutral
4308,much cost check additional bag traveling newark glasgow thank,neutral,0.3612,Neutral
4309,call work tell fault late flight,negative,-0.4019,Neutral
4310,new apple cr pe amazing live ua1207 really nice crew americanair biscuits ua needs 2 http co gz9gqdt7jj,positive,0.7841,Positive
4311,clicked link got confused http co xmaqcucwzl,neutral,-0.3182,Neutral
4312,united officially worst delayed least helpful airline ever misfortune flying,negative,-0.6738,Negative
4313,items sentimental value heartbroken missing,negative,-0.4215,Neutral
4314,even though technically land silver,neutral,0,Neutral
4315,still waiting reply,negative,0,Neutral
4316,please see flight attendant not enough room head bags carry save time,negative,0.6705,Positive
4317,wanted get bag benefit instead get 25 pricing three tickets adding card mp visa option,negative,0.4588,Neutral
4318,tried 2 dm would not go thru not sure,negative,-0.2411,Neutral
4319,link current status flights airports fly bwi ewr mco morning yet not yet tell problems except see snow,negative,0.3089,Neutral
4320,like delays less one plane connect voucher,negative,0.3612,Neutral
4321,not hope nicer flight time try things right sold tickets connetion,negative,-0.5875,Negative
4322,got gate iah time given seats closed flight know people arriving wait,negative,0,Neutral
4323,yes waited line almost hour passengers left not wanting wait past 1am,negative,0.4019,Neutral
4324,still waiting hit one hour,negative,0,Neutral
4325,although not happy cancelled flighted flight home tomorrow phx atl dca happy easy rebook,negative,0.6533,Positive
4326,hello hold extremely long time confirmation amp not get boarding pass tried numerous times,negative,0,Neutral
4327,teaching new travelers research budget amp save trip today http co qll48r57ep,neutral,0.4939,Neutral
4328,frustrated loooooong wait time speak live person cannot get boarding pass flight tomorrow,negative,-0.5267,Negative
4329,still no update text 2053 amp still no response email fr1 5 2015 sr 256746438028 feel like yr losing customer service care,negative,-0.0772,Neutral
4330,agents ones rude unhelpful prompted initial tweet easy fix,negative,-0.0258,Neutral
4331,wife group prev flight got bumped reason alone two kids least put group,negative,-0.25,Neutral
4332,flight delayed 4 hrs 5 months pregnant amp supposed caring mom whose surgery upset,negative,-0.0772,Neutral
4333,thank much completely made things right,positive,0.3612,Neutral
4334,love always get best deals,positive,0.8555,Positive
4335,follow send info,neutral,0,Neutral
4336,hold 34 min far trying book seat infant price increased 42 meantime,negative,0.2732,Neutral
4337,glassdoor best places work snagging 15 overall notsurprising luvthem,neutral,0.6369,Positive
4338,poor performance around paid express checkin weeks ago not even leverage bullshit,negative,-0.0072,Neutral
4339,thx make right help meagan fouty brancato fl 2771 dfw gate 4 preboard w kids b4 group please please,positive,0.8316,Positive
4340,update emergency landing jacksonville right parentsonboard,neutral,-0.3818,Neutral
4341,hold 28 minutes please help http co fx9bijlxat,neutral,0.6124,Positive
4342,develop ding chrome firefox browser extension would swell,neutral,0,Neutral
4343,take u midway chicago march 8th april 6th ca not make get u fly2ohare year round flypbi,neutral,0,Neutral
4344,logically would think check people board could drove home time waiting,negative,0,Neutral
4345,thanks southwest saving trip sweetheart not going miss seeing altonbrownlive thanks sohappy,positive,0.8896,Positive
4346,someone call back hold two times today 20 min still not gotten,negative,0,Neutral
4347,know suicide second leading cause death among teens 10 24,neutral,-0.8555,Negative
4348,never mind moved flight tomorrow thanks help,positive,0.6808,Positive
4349,needs wheelchair gate sure options,neutral,0.3182,Neutral
4350,managed get sorted phone good luck dealing snow texas,positive,0.7096,Positive
4351,grounded 2 flights b c equipment problems amp rude wife traveling alone w 2 young kids never,negative,-0.7717,Negative
4352,promise not unfollow,neutral,0.3182,Neutral
4353,dmed confirmation number,neutral,0.0772,Neutral
4354,oh look delayed flight additional half hour arriving 6 officially five hours planned,negative,-0.2263,Neutral
4355,weather bc system outage hopefully everything goes smoothly thank follow,positive,0.6369,Positive
4356,belt issues rough day worst part traveling 9 month old wait outside 85 degree,negative,-0.6249,Negative
4357,oh atlanta,neutral,0,Neutral
4358,moved 210pm flight 4649 main concern luggage arriving told sw,negative,0,Neutral
4359,used always fly southwest,positive,0,Neutral
4360,got bags 35 hours late flightr offer 50 go pick taxi costs 65 one way spent 200 inconvenience,negative,-0.3612,Neutral
4361,thx expecting credit leg,negative,0.6249,Positive
4362,sure please follow,neutral,0.5574,Positive
4363,appreciate getting gate issue figured grr plenty open gates yet sit wait tarmac,negative,0.4019,Neutral
4364,sent,neutral,0,Neutral
4365,20 minutes hold waiting ridiculous,negative,-0.3612,Neutral
4366,u seen messages past hour,negative,0,Neutral
4367,following,neutral,0,Neutral
4368,thank awesome flights sweetheart got screwed flyfrontier managed scramble get sw plane today,positive,0.8271,Positive
4369,thanks much,positive,0.4404,Neutral
4370,round trip tickets arrived auction post masters invitational thanks southwest http co mrfbjtepef,positive,0.4404,Neutral
4371,went purchase flight began processing not even 4 minutes earlier points gone help,negative,0.4019,Neutral
4372,upset luggage damaged rude employee laguardia airport not help,negative,-0.8676,Negative
4373,tv stream means get spend flight watching 1999 2011 women world cup finals throwback bestflightever,positive,0,Neutral
4374,status bag check area ffl,neutral,0,Neutral
4375,heavenlychc9 would least enjoy free cocktail two,positive,0.171,Neutral
4376,agree rt 9news one airline fly away favorite dia 9newsbusiness http co o3wlainimy,positive,0.6705,Positive
4377,flight 218 matters hell next not get luggage properly transferred facepalm smh,negative,-0.7783,Negative
4378,phone service sucks,negative,-0.3612,Neutral
4379,flight bwi delayed miss flight denver way find hold plane,neutral,-0.3612,Neutral
4380,airport snow removal method 22 keep good work folks cessna become 747 http co 7pofsxojsy,positive,0.4404,Neutral
4381,people exit row still supposed give verbal approvals never asked flight,negative,0,Neutral
4382,arrival delayed nearly 5hours yeah entire day airport not idea stress less vacation fail,negative,-0.1505,Neutral
4383,oh company caused us lose entire day vacation cancun de boarded waiting another plane,negative,-0.4019,Neutral
4384,trying change reservation hold 45 minutes not online directed call help,negative,0.4019,Neutral
4385,first call got dropped waited 15 mins second ran time try late flightr no way online,negative,-0.296,Neutral
4386,yo trying make change reservation whenever select flight says unable price please help,negative,0.6124,Positive
4387,great de boarding perfectly plane shot fml plans screwed thanks nothing,negative,0.8402,Positive
4388,teyana taylor performing medusafridays 2 27 free till11 http co qwfmoq0dql http co kbb0b5fxmk themenofbusiness,neutral,0.5106,Positive
4389,let us plane bc toilets done even work goes family vacay playa del carmen mexico neveragain,negative,0,Neutral
4390,thanks apology unfortunately one many bad experiences no longer flying southwest,negative,-0.6124,Negative
4391,told customer service customer relations extend expiration date unused travel funds,negative,0.1779,Neutral
4392,smiles1307 two hours ugh get vouchers inexcusable esp pre flight check ok,negative,-0.1531,Neutral
4393,5 30 flight birmingham tomorrow night reschedule earlier flight expected snow,neutral,0,Neutral
4394,follow back dm,neutral,0,Neutral
4395,horrible experience passenger size 1 3 seat offered 50 voucher christine c http co 1xzrk66wvq,negative,-0.5423,Negative
4396,3rd time flying southwest two years another trip back mx october,neutral,0,Neutral
4397,yes much looking forward using airlines future flights never,negative,0.4019,Neutral
4398,need learn treat people respect little dignity fail,negative,0.6105,Positive
4399,redeem points packages magically gone time finally got 10 01 felt like baitandswitch,negative,0.3612,Neutral
4400,done,neutral,0,Neutral
4401,think get faster response twitter call,negative,0,Neutral
4402,idea winter advisory posted atl tomorrow 2 25 would rather get phl tonight,neutral,0,Neutral
4403,watch staff check passenger list twice first time forgot look ids brutal,negative,-0.6249,Negative
4404,flight 2373 chi buf last night almost 2 hour delay cuz someone got plane without pass sounds safe 1 2,negative,-0.5334,Negative
4405,thx quick response action bf make good use voucher satisfied happycustomer,positive,0.802,Positive
4406,nothing help us restore barely expired rapidrewards points,negative,-0.4847,Neutral
4407,rapid rewards program sold short lasttweetaboutthis still disappointed,negative,0,Neutral
4408,freezing plane,negative,-0.1027,Neutral
4409,airline people screwed boarding passes way back puerto vallarta horrible,negative,-0.7717,Negative
4410,groupa group c never got sit next south west flight not even honey moon,negative,0,Neutral
4411,flight atlanta getting cancelled flightled schedule phone 1 5 hours rep bumping us,negative,-0.25,Neutral
4412,due apparent water issue checked fine checks husband already deal first,negative,0.2023,Neutral
4413,u lot pissed hungry tired people stuck midway 4 2 hours scheduled departure inexcusable,negative,-0.8442,Negative
4414,know lost baggage portal http co huclxluv5h not work mobile 404 http co o4zr27qpcr,negative,-0.3182,Neutral
4415,going charge wifi us solid make sure not take length flight open page,negative,0.4404,Neutral
4416,website reverted 1st flight 5 minute delay changed reliable information,negative,-0.3182,Neutral
4417,swa helps hotel industry always book flights day need somewhere swa consistent cancelled flights delays,negative,0.1531,Neutral
4418,unfortunately call answered service horrid swa role model finger pointing amp excuses disappointed,negative,-0.8402,Negative
4419,barzegar charges tourists 700 euros night stay tent village runs http co igsvzvrbbn,neutral,-0.2732,Neutral
4420,please make sense companion promo set,neutral,0.3182,Neutral
4421,unfortunately not even phone died chance grab oma san 3 27 4 2,neutral,0.3662,Neutral
4422,live atlanta cant enroll atlanta companion promotion error every time help also sent email thanks,neutral,0.4404,Neutral
4423,frustrating indeed especially no one knows issue,negative,-0.659,Negative
4424,hold customer service may quicker rebooked trip lower fare difference go,negative,-0.296,Neutral
4425,chantilly paris france,neutral,0,Neutral
4426,thx not responding,negative,0.3612,Neutral
4427,booked flight phone never got confirmation email would go getting,negative,0,Neutral
4428,supposed take almost 2 hours ago vacationfail frozenwater gettingimpatient theycouldatleastofferfreebooze,negative,0,Neutral
4429,come not getting points buy rapid reward shopping site,negative,0.5719,Positive
4430,hey flying tampa denver today want know tv seats like,neutral,0.4215,Neutral
4431,carol thrower passengers fort lauderdale airport,neutral,0,Neutral
4432,mins no answer wife baby need get flight arrived 2 hrs prior please help venetia crook,negative,0.4215,Neutral
4433,wife 9 month old might miss flight next direct 210 pm mother law hold customer support 30,negative,0.2732,Neutral
4434,flight 1614 fll atl wife traveling infant line check baggage 200 people long due computer system crash,negative,-0.4019,Neutral
4435,thanks sent dm let know oyu need additional information,positive,0.4404,Neutral
4436,hey friends phone list number ivr hangs multiple times not sure proceed,negative,0.3481,Neutral
4437,strives customer centric everything communications advertising customer journey etc anamarketers,positive,0,Neutral
4438,la always traffic insane not one issue flight 1625,negative,-0.4019,Neutral
4439,insane traffic la trying call schedule flight phone 20 minutes nothing,negative,-0.4019,Neutral
4440,airline trouble amp not getting satisfactory customer service contact http co aqjn4hwnac negotiate resolutions,neutral,-0.5873,Negative
4441,hey southwest help find flight nashville washington dc raleigh 150 march 15 please,neutral,0.6124,Positive
4442,no longer change trips companion online years get message not done online,negative,-0.296,Neutral
4443,adding rr number marriott stay hard wo not take rr number checkin marriott phone cs not helpful,negative,-0.3927,Neutral
4444,nor spiritairlines fly toronto killing smalls,negative,-0.6597,Negative
4445,thank,neutral,0.3612,Neutral
4446,traditionally used sledge hammer low taking share driving scalpel approach data science anamarketers,neutral,0.0258,Neutral
4447,customer centricity knowing people anamarketers,positive,0,Neutral
4448,used guys travels last experience never use southwest worstcustomerservice,negative,0,Neutral
4449,america largest airline passengers carried wonder b c customer service bible anamarketers,neutral,0,Neutral
4450,vipliveinthevieyard first time tried redeem pts anything really not go well disappointed,negative,0.1221,Neutral
4451,ok thank hope,positive,0.765,Positive
4452,way receive refund trip cancelled flight online instead calling phone lines super busy,negative,0.4404,Neutral
4453,intuit jhamilton2007 4 moms 4 careers 1 day trip la intuitlife leanin http co 2qjbcv5jzq southwestairlines,positive,0,Neutral
4454,resource check delays cancelled flightlations love field flying tomorrow stressed weather,neutral,0.2023,Neutral
4455,switching planes due mechanical problems reboarding work a49 end long line stuck middle,negative,-0.5719,Negative
4456,booked via phone calling list preferred not kta get added ticket must use web,negative,0,Neutral
4457,tried vip live vineyard yr site went time got 2 redeem pts packages gone,negative,0.5106,Positive
4458,oscar worthy entrance la http co 10tmthvfdc,neutral,0.4404,Neutral
4459,best airline hands amazing customer service bags free affordable flights happycamper,positive,0.9062,Positive
4460,thanks ella mae las counter going beyond help us get back abq flight cancelled flightled,positive,0.5574,Positive
4461,phlairport flight 2155 arrives e11 penguin plane,neutral,0,Neutral
4462,thank taking good care people als http co m1yywafkfi kevinswan alstdi life story,positive,0.8225,Positive
4463,smoooothest flight attendants southwestsmoothie http co vr9k180lai,positive,0,Neutral
4464,southwest airline cancelled flight flights charleston 7 50pm flight cancelled flightation really weather relate flightd,negative,-0.4588,Neutral
4465,stepup makeitright best money hungry wewillsee,neutral,0.6369,Positive
4466,thanks text not exactly timely 8 data throughout issues today maybe http co aau9mka6zy,negative,0.4404,Neutral
4467,called 800 rep pleasant less helpful told sol train consistent cx,negative,0.701,Positive
4468,25 year customer 6 3 lost 2 3 inches really hurt every time person front shifts raps knees,negative,-0.7178,Negative
4469,less 3500pts helped partnerrewards incoming not fast enough keep pts expiring,neutral,0,Neutral
4470,wife rr pts expired days ago planning flight booking problems trip today anything us tight budget,neutral,-0.4019,Neutral
4471,would great atleast next husband flying reservation,negative,0.6249,Positive
4472,customer relations still not open texas,negative,0,Neutral
4473,thank tip,positive,0.3612,Neutral
4474,hate evolved seating knees seat pocket http co fornpf69ky,negative,-0.5719,Negative
4475,thanks team dealing flight 1700 houston,positive,0.4404,Neutral
4476,bumped preboard flights fat whatever reason thanks,positive,0.4404,Neutral
4477,heart southwest commercials aimed satisfy nano smattering travelers destinations,negative,0.802,Positive
4478,urgently need two receipts sent cs closed help,neutral,0.4019,Neutral
4479,sent,neutral,0,Neutral
4480,etd swa1004 phl appears delayed no info available gate,negative,-0.4767,Neutral
4481,tell cancelled flightled flight vs delay,negative,-0.5106,Negative
4482,bday yesterday girl gave birth first born could not get courtesy flight change lynn thanks,negative,0.1999,Neutral
4483,cb know,neutral,0,Neutral
4484,no need know status cancelled flightled instead delaying flight,negative,-0.4939,Neutral
4485,weather time cancelled flighted no not meeting today,negative,-0.4939,Neutral
4486,flight not empty rude not http co 4rl0p5jchb,neutral,0.4717,Neutral
4487,left ipad seat pocket filed lost item report received exactly 1 week late flightr record unbelievable,positive,-0.128,Neutral
4488,flight 4471 msp cancelled flighted,negative,-0.25,Neutral
4489,luv please stop overheating planes second flight row feels like sauna,negative,0.3818,Neutral
4490,not one traveling asking sister waiting nephew midland flight eventually landed,neutral,0,Neutral
4491,anyone help upgrade buisness select cant seem get hail right area know guys good,positive,0.6573,Positive
4492,asked lindsey call instead dm like schoolgirl far no call getting tired typing little notes,negative,-0.3818,Neutral
4493,give us clever advertising bagsflyfree badpolicy allows cheatcustomers,negative,0.4588,Neutral
4494,principle hard get mugged amp not upset took money amp not give anything wrongiswrong,negative,0.1984,Neutral
4495,customer service not use words wasted time took money badbussiness theft http co 63zaq2lt8f,negative,0.3875,Neutral
4496,three hour flight orlando no wifi uncool firstworldproblems,negative,-0.296,Neutral
4497,loving new planes lighting wish windows larger http co h44uj63cjg,positive,0.765,Positive
4498,would like ask bags picked pit amp taken hotel airport someone contact,negative,0.3612,Neutral
4499,customer service fll bwi pit terrible no one knows bags job no clothes amp gear,negative,-0.7579,Negative
4500,multiple attempts finally able submit late flight last night,negative,0,Neutral
4501,4am arrive find already cancelled flighted no options miss meeting might know not show,negative,-0.4129,Neutral
4502,new day new chance right thing never late flight honest,neutral,-0.1783,Neutral
4503,darn bought wrong device no way switch sure,negative,-0.4588,Neutral
4504,quick question bought wifi phone buy tablet 9 hours left trip,neutral,0,Neutral
4505,southwestair cool shot moon one fleet http co kl9baimes6,positive,0.3182,Neutral
4506,hello swa poc partnerships nonprofit organizations bwi area,neutral,0,Neutral
4507,hey remember time lost husbands bags filmjobnoequipment nowarmclothes,negative,-0.3182,Neutral
4508,looking forward flying swa friday luv airline dtw mdw tus,positive,0,Neutral
4509,love airline much thanks much service great snacks amazing everything outstanding thanks,positive,0.9716,Positive
4510,need redeem lost respect tonight lostbags filmjobnoequipment,negative,0.2023,Neutral
4511,way fuck lose c istudios bags husband no warm clothes no equipment youdidit notcool,negative,-0.8429,Negative
4512,assigned seating cousin amp probably not sit together flight tomorrow thanks,neutral,0.4404,Neutral
4513,wifi stays connected lifetime higgs boson,negative,0,Neutral
4514,forget wedding fairs discounts nonprofits donate part worth every single day,neutral,0,Neutral
4515,phone agents able give correct departure times cun checkin online international,negative,0,Neutral
4516,making miss thebachelor right wah,negative,-0.1531,Neutral
4517,please lower plane flight like 100 bucks thanks floridavacation,neutral,0.6705,Positive
4518,great flight cabo last week family smoothflight frequentflyer,positive,0.6249,Positive
4519,let bags flutter charge travelers change dates fullprice not let travel,negative,0,Neutral
4520,late flightst ad makes happy flying days bethonors,positive,0.5719,Positive
4521,fact u see black history month 12 months year honorable economic base corp like u future,positive,0.7184,Positive
4522,offer cdn border towns incentive fly since exchange rates hurt customerappreciation gaincustomers keepem2,neutral,-0.2263,Neutral
4523,awesome flight dallas 2 ny virgin america refused bc child peanut allergy u guys not thanks,positive,0.1265,Neutral
4524,not let send dm not follow lovedflyingwiththem notanymore wrong badpolicy,negative,-0.4767,Neutral
4525,reference 261093929756,neutral,0,Neutral
4526,welcome thoughts nearly entire plane,negative,0.4588,Neutral
4527,know reason flight 336 dallas midland diverted lubbock suppose direct midland,neutral,0,Neutral
4528,flight wifi tmobile wifi calling makes best combination not love texting 40 000 feet air,positive,0.21,Neutral
4529,become like every airline crooked not believe taking 500 shouldwearmasks shocked,negative,0.0516,Neutral
4530,conf f8neqm flight delayed 3 hours friend waited bday please follow,negative,0.5574,Positive
4531,twitter cust svc rule 1 dont say fell short told u u 2 u cant solve problem not say anything,negative,0.1695,Neutral
4532,disappointed iservice received checked online checked flight status online checked airport,negative,-0.4767,Neutral
4533,great day air http co ync2zut4zz,positive,0.6249,Positive
4534,thanks,positive,0.4404,Neutral
4535,thanks two smooth safe fast flights boston houston luvswa http co elhxuv0uj1,positive,0.7003,Positive
4536,really love customer service lou ann phx rocks thanks sw ourguest,positive,0.8122,Positive
4537,see atl congrats destinationdragons winners ready atlanta http co ay1gidcfa4 http co yc7v2s0iod,neutral,0.8402,Positive
4538,enrolled atl companion pass offer booked 3 flights already may 17 start using pass,neutral,0,Neutral
4539,disappointed customer service right definitely not feeling luv worse 2nd time winter,negative,0.1984,Neutral
4540,follow back dm info,neutral,0,Neutral
4541,katie gate c47 denver international fantastic customer service helping 2 new flyers thx amazing staff,positive,0.9022,Positive
4542,kudos bag handler dtw gate 21 7 10 pm ran keep bags hitting ground 9 degree temp http co 5txu5tsfkj,negative,0.5106,Positive
4543,crew flight 206 awesome tell sent tweet maybe give free wifi canthurtasking,positive,0.8126,Positive
4544,thankyou,positive,0,Neutral
